,country_id,country_value,indicator_name,year,value,region,incomeLevel,lendingType,longitude,latitude
2280,ES,Spain,Poverty headcount ratio at national poverty lines (% of population),2025,,Europe & Central Asia,High income,Not classified,-3.70327,40.4167
2281,ES,Spain,Poverty headcount ratio at national poverty lines (% of population),2024,,Europe & Central Asia,High income,Not classified,-3.70327,40.4167
2282,ES,Spain,Poverty headcount ratio at national poverty lines (% of population),2023,,Europe & Central Asia,High income,Not classified,-3.70327,40.4167
2283,ES,Spain,Poverty headcount ratio at national poverty lines (% of population),2022,20.2,Europe & Central Asia,High income,Not classified,-3.70327,40.4167
2284,ES,Spain,Poverty headcount ratio at national poverty lines (% of population),2021,20.4,Europe & Central Asia,High income,Not classified,-3.70327,40.4167
2285,ES,Spain,Poverty headcount ratio at national poverty lines (% of population),2020,21.7,Europe & Central Asia,High income,Not classified,-3.70327,40.4167
2286,ES,Spain,Poverty headcount ratio at national poverty lines (% of population),2019,21.0,Europe & Central Asia,High income,Not classified,-3.70327,40.4167
2287,ES,Spain,Poverty headcount ratio at national poverty lines (% of population),2018,20.7,Europe & Central Asia,High income,Not classified,-3.70327,40.4167
2288,ES,Spain,Poverty headcount ratio at national poverty lines (% of population),2017,21.5,Europe & Central Asia,High income,Not classified,-3.70327,40.4167
2289,ES,Spain,Poverty headcount ratio at national poverty lines (% of population),2016,21.6,Europe & Central Asia,High income,Not classified,-3.70327,40.4167
2290,LK,Sri Lanka,Poverty headcount ratio at national poverty lines (% of population),2025,,South Asia,Lower middle income,IDA,79.8528,6.92148
2291,LK,Sri Lanka,Poverty headcount ratio at national poverty lines (% of population),2024,,South Asia,Lower middle income,IDA,79.8528,6.92148
2292,LK,Sri Lanka,Poverty headcount ratio at national poverty lines (% of population),2023,,South Asia,Lower middle income,IDA,79.8528,6.92148
2293,LK,Sri Lanka,Poverty headcount ratio at national poverty lines (% of population),2022,,South Asia,Lower middle income,IDA,79.8528,6.92148
2294,LK,Sri Lanka,Poverty headcount ratio at national poverty lines (% of population),2021,,South Asia,Lower middle income,IDA,79.8528,6.92148
2295,LK,Sri Lanka,Poverty headcount ratio at national poverty lines (% of population),2020,,South Asia,Lower middle income,IDA,79.8528,6.92148
2296,LK,Sri Lanka,Poverty headcount ratio at national poverty lines (% of population),2019,14.3,South Asia,Lower middle income,IDA,79.8528,6.92148
2297,LK,Sri Lanka,Poverty headcount ratio at national poverty lines (% of population),2018,,South Asia,Lower middle income,IDA,79.8528,6.92148
2298,LK,Sri Lanka,Poverty headcount ratio at national poverty lines (% of population),2017,,South Asia,Lower middle income,IDA,79.8528,6.92148
2299,LK,Sri Lanka,Poverty headcount ratio at national poverty lines (% of population),2016,16.0,South Asia,Lower middle income,IDA,79.8528,6.92148
2300,KN,St. Kitts and Nevis,Poverty headcount ratio at national poverty lines (% of population),2025,,Latin America & Caribbean ,High income,IBRD,-62.7309,17.3
2301,KN,St. Kitts and Nevis,Poverty headcount ratio at national poverty lines (% of population),2024,,Latin America & Caribbean ,High income,IBRD,-62.7309,17.3
2302,KN,St. Kitts and Nevis,Poverty headcount ratio at national poverty lines (% of population),2023,,Latin America & Caribbean ,High income,IBRD,-62.7309,17.3
2303,KN,St. Kitts and Nevis,Poverty headcount ratio at national poverty lines (% of population),2022,,Latin America & Caribbean ,High income,IBRD,-62.7309,17.3
2304,KN,St. Kitts and Nevis,Poverty headcount ratio at national poverty lines (% of population),2021,,Latin America & Caribbean ,High income,IBRD,-62.7309,17.3
2305,KN,St. Kitts and Nevis,Poverty headcount ratio at national poverty lines (% of population),2020,,Latin America & Caribbean ,High income,IBRD,-62.7309,17.3
2306,KN,St. Kitts and Nevis,Poverty headcount ratio at national poverty lines (% of population),2019,,Latin America & Caribbean ,High income,IBRD,-62.7309,17.3
2307,KN,St. Kitts and Nevis,Poverty headcount ratio at national poverty lines (% of population),2018,,Latin America & Caribbean ,High income,IBRD,-62.7309,17.3
2308,KN,St. Kitts and Nevis,Poverty headcount ratio at national poverty lines (% of population),2017,,Latin America & Caribbean ,High income,IBRD,-62.7309,17.3
2309,KN,St. Kitts and Nevis,Poverty headcount ratio at national poverty lines (% of population),2016,,Latin America & Caribbean ,High income,IBRD,-62.7309,17.3
2310,LC,St. Lucia,Poverty headcount ratio at national poverty lines (% of population),2025,,Latin America & Caribbean ,Upper middle income,Blend,-60.9832,14
2311,LC,St. Lucia,Poverty headcount ratio at national poverty lines (% of population),2024,,Latin America & Caribbean ,Upper middle income,Blend,-60.9832,14
2312,LC,St. Lucia,Poverty headcount ratio at national poverty lines (% of population),2023,,Latin America & Caribbean ,Upper middle income,Blend,-60.9832,14
2313,LC,St. Lucia,Poverty headcount ratio at national poverty lines (% of population),2022,,Latin America & Caribbean ,Upper middle income,Blend,-60.9832,14
2314,LC,St. Lucia,Poverty headcount ratio at national poverty lines (% of population),2021,,Latin America & Caribbean ,Upper middle income,Blend,-60.9832,14
2315,LC,St. Lucia,Poverty headcount ratio at national poverty lines (% of population),2020,,Latin America & Caribbean ,Upper middle income,Blend,-60.9832,14
2316,LC,St. Lucia,Poverty headcount ratio at national poverty lines (% of population),2019,,Latin America & Caribbean ,Upper middle income,Blend,-60.9832,14
2317,LC,St. Lucia,Poverty headcount ratio at national poverty lines (% of population),2018,,Latin America & Caribbean ,Upper middle income,Blend,-60.9832,14
2318,LC,St. Lucia,Poverty headcount ratio at national poverty lines (% of population),2017,,Latin America & Caribbean ,Upper middle income,Blend,-60.9832,14
2319,LC,St. Lucia,Poverty headcount ratio at national poverty lines (% of population),2016,,Latin America & Caribbean ,Upper middle income,Blend,-60.9832,14
2320,MF,St. Martin (French part),Poverty headcount ratio at national poverty lines (% of population),2025,,Latin America & Caribbean ,High income,Not classified,,
2321,MF,St. Martin (French part),Poverty headcount ratio at national poverty lines (% of population),2024,,Latin America & Caribbean ,High income,Not classified,,
2322,MF,St. Martin (French part),Poverty headcount ratio at national poverty lines (% of population),2023,,Latin America & Caribbean ,High income,Not classified,,
2323,MF,St. Martin (French part),Poverty headcount ratio at national poverty lines (% of population),2022,,Latin America & Caribbean ,High income,Not classified,,
2324,MF,St. Martin (French part),Poverty headcount ratio at national poverty lines (% of population),2021,,Latin America & Caribbean ,High income,Not classified,,
2325,MF,St. Martin (French part),Poverty headcount ratio at national poverty lines (% of population),2020,,Latin America & Caribbean ,High income,Not classified,,
